"Timestamp","gforcexavg","gforcexstdev","gforcexmax","gforcexmin","gforcexmaxamp","gforcexmaxfreq","tgforcexmaxamp","tgforcexmaxfreq","gforcexenergy","gforcexentropy","gforceyavg","gforceystdev","gforceystmax","gforceystmin","gforceymaxamp","gforceymaxfreq","tgforceymaxamp","tgforceymaxfreq","gforceyenergy","gforceyentropy","gforcezavg","gforcezstdev","gforcezstmax","gforcezstmin","gforcezmaxamp","gforcezmaxfreq","tgforcezmaxamp","tgforcezmaxfreq","gforcezenergy","gforcezentropy","linaccxavg","linaccxstdev","linaccxmax","linaccxmin","linaccxmaxamp","linaccxmaxfreq","tlinaccxmaxamp","tlinaccxmaxfreq","linaccxenergy","linaccxentropy","linaccyavg","linaccystdev","linaccymax","linaccymin","linaccymaxamp","linaccymaxfreq","tlinaccymaxamp","tlinaccymaxfreq","linaccyenergy","linaccyentropy","linacczavg","linacczstdev","linacczmax","linacczmin","linacczmaxamp","linacczmaxfreq","tlinacczmaxamp","tlinacczmaxfreq","linacczenergy","linacczentropy","linaccavg","linaccstdev","linaccmax","linaccmin","linaccmaxamp","linaccmaxfreq","tlinaccmaxamp","tlinaccmaxfreq","linaccenergy","linaccentropy","speedavg","speedstdev","speedmax","speedmin","gyroxavg","gyroxstdev","gyroxmax","gyroxmin","gyroxmaxamp","gyroxmaxfreq","tgyroxmaxamp","tgyroxmaxfreq","gyroxenergy","gyroxentropy","gyroyavg","gyroystdev","gyroymax","gyroymin","gyroymaxamp","gyroymaxfreq","tgyroymaxamp","tgyroymaxfreq","gyroyenergy","gyroyentropy","gyrozavg","gyrozstdev","gyrozmax","gyrozmin","gyrozmaxamp","gyrozmaxfreq","tgyrozmaxamp","tgyrozmaxfreq","gyrozenergy","gyrozentropy","sampleno","Action"
7,-0.011896875,0.875711036625289,1.8537,-3.3224,9.94693238413444,0.25,9.94693238413444,0.5,27.5814223909863,1.44641794964178,0.586984375,0.660596500781497,2.5879,-0.8023,9.40984100060651,0.25,9.40984100060651,0.5,20.8061681947926,1.39159254097249,0.20483125,0.753580766670144,2.1162,-0.8082,13.3760669165306,0.25,13.3760669165306,0.5,23.7348035618583,1.33900453862571,-0.1123875,1.93271555518604,4.2115,-5.9928,16.9177756753067,2,17.0223601529242,1.99833889007732,60.8728699990398,1.44448361270739,-0.073234375,2.60129093579538,4.7236,-6.6547,25.7455503839664,0.75,25.7455503839664,1,81.9303412441935,1.43806820159118,0.629575,1.74008426047372,4.4912,-2.4551,20.3649548635435,0.5,21.4298823164476,0.928188440939429,54.8057486736565,1.41668331957871,3.0988144750805,2.01129520778807,8.02909064527235,1.03147615580778,25.1585146084184,1,28.2772144181683,0.957325668772944,63.347817212342,1.3904656810519,0,0,0,0,0.132678125,1.16167998306523,3.6038,-1.5978,17.0905964003122,0.5,17.0905964003122,0.75,36.5883093349501,1.37822256562589,-0.695440625,1.33660454905497,0.6779,-5.1858,17.6232809917846,0.25,17.6232809917846,0.5,42.0977389747953,1.42254670906772,-0.83308125,1.40434965580732,0.6531,-5.4256,12.4560645165863,0.75,12.5025130502098,0.910021829015782,44.2314409907704,1.42254670906772,32,"Bike"
9,-0.2708875,0.238694994677038,0.3013,-0.6656,3.62997214414915,0.25,3.62997214414915,0.5,7.5179450702968,1.36932472190585,0.788925,0.327608303687744,1.2438,-0.2942,3.40984375790753,0.75,3.64335728848668,0.755451116873094,10.3183614513158,1.41403357197188,-0.38396875,0.25867266703182,0.0921,-0.8082,3.42686640907851,0.25,3.42686640907851,0.5,8.14716246800074,1.34064916857111,-0.2768375,1.4802816849963,4.2115,-5.9928,12.650952712899,1.5,12.650952712899,1.75,46.6229985736653,1.44510968614075,0.374003125,2.02248258136514,4.7236,-6.6547,18.6253705212441,0.75,18.6253705212441,1,63.7001750828834,1.46219673419415,0.4138875,1.2991201461113,3.4679,-1.6223,17.1490486273668,0.25,17.1490486273668,0.5,40.9171290390711,1.39042508756194,2.13220534970884,1.91748764342687,8.02909064527235,0.441125390337033,20.7755729270224,0.25,20.7755729270224,0.5,60.393251210654,1.43406485573804,0,0,0,0,0.036078125,1.13687194805758,3.6038,-2.3168,17.7720112309457,0.75,17.8562303345435,0.951277103709676,35.8069546829942,1.38675495210231,0.07710625,0.685580403480946,1.697,-1.8667,7.39367562366115,0.5,7.39367562366115,0.75,21.5930619811087,1.42087487395772,-0.11714375,1.00914714293244,0.6531,-5.4256,7.72795715112432,0.5,8.68998840212085,1.24909509822883,31.7841301979463,1.42087487395772,32,"Bike"
11,-0.048296875,0.279651234961918,0.5159,-0.6656,5.09773009370684,0.25,5.09773009370684,0.5,8.80790410426907,1.32962990916871,0.823315625,0.243480667722174,1.268,0.4356,2.66565151391181,0.5,2.67409937518116,0.781669962618418,7.66867477925619,1.4195423626843,-0.460359375,0.260197437268101,0.0921,-0.88,3.36855743291515,0.25,3.36855743291515,0.5,8.19518667938687,1.35004907420082,0.19079375,0.891762914007074,1.8553,-1.9962,12.4259194899582,0.25,12.4259194899582,0.5,28.0869928265737,1.39711854658421,0.52123125,0.787555344675801,1.8396,-0.7279,10.1712327131279,0.75,10.3320301225507,0.902622666104086,24.8048679407894,1.33082742562179,0.4471375,0.818633399675652,1.5136,-1.6223,10.5566671032042,0.75,11.1233941218943,0.78206543014961,25.7837033399006,1.38347916344064,1.46236503175889,0.634470855082996,2.65275465507084,0.441125390337033,6.53536179951286,1,6.616788343516,1.12788275040734,19.9833140350181,1.41184778060664,0.625,0.635000635000952,1.25,0,-0.0339375,0.902157355472014,1.4609,-2.3168,11.1675892816447,0.5,11.4748815725119,0.845609801130841,28.4143764823372,1.35484443330746,-0.019315625,0.627192346434013,1.697,-1.1002,9.41137076116473,0.25,9.41137076116473,0.5,19.7540698973655,1.41927338041129,0.26859375,0.445784659381996,1.2403,-0.6806,5.31403965689658,0.5,5.31403965689658,0.75,14.04044767235,1.41927338041129,32,"Bike"
13,0.103484375,0.168987573716426,0.5159,-0.2141,2.52673524670077,0.5,2.52673524670077,0.75,5.32243794421316,1.41849969799394,0.78925,0.270750832959729,1.268,0.2578,4.09686705981864,0.5,4.09686705981864,0.75,8.52757676248065,1.40641704016288,-0.543146875,0.19768265377322,-0.2219,-0.88,3.21520023967722,0.5,3.21934880663293,0.761641402685538,6.22621908946352,1.39465812438726,0.128025,0.846234858348361,1.8553,-1.4281,9.72844773665414,0.25,9.72844773665414,0.5,26.6530397515931,1.38586123642281,0.6984,1.0657875467647,1.987,-1.7347,12.3524995899881,0.5,12.354397312235,0.766726464164986,33.5680781409958,1.35813133466636,0.56494375,0.64667454343044,1.5136,-1.0526,11.27889807282,0.5,14.2859564757792,1.17512011061728,20.3676817875771,1.30622018653703,1.67361975859223,0.478246161369009,2.65275465507084,0.767778639973788,5.32373982720701,0.75,7.45003038845381,1.66484426577438,15.062856161342,1.44595936066189,1.7975000125,0.557199233088885,2.3900001,1.25,0.06386875,0.90424025584037,1.4609,-1.5025,16.9771753392066,0.5,16.9771753392066,0.75,28.4799795779421,1.30660154399771,-0.191275,0.41655413542772,0.6073,-1.1002,5.55582061883488,0.75,5.61862819613305,0.923302699307542,13.1198021692402,1.35112045321919,0.24583125,0.655191346804443,1.2403,-1.1343,10.2068651172681,0.5,10.2068651172681,0.75,20.6359272948903,1.35112045321919,32,"Bike"
15,0.12021875,0.196549999281969,0.8321,-0.1655,2.25336862187409,0.5,2.26157652619097,0.775286691496629,6.19054496793295,1.42639396688936,0.78626875,0.305569996666726,1.3683,0.2425,3.94364748896654,0.5,3.94364748896654,0.75,9.62424223926227,1.37770603514032,-0.54300625,0.173889927990242,-0.1604,-0.9322,2.23193151688768,0.5,2.23193151688768,0.75,5.47684264882605,1.38779137815611,-0.841521875,0.893140512997625,1.0588,-2.5504,10.913512670062,0.5,11.1069602254188,0.654219449170915,28.130381727769,1.35490091749357,0.123440625,1.45444725225313,1.987,-2.9809,15.6949583606534,0.75,15.6949583606534,1,45.8093164663041,1.38717331191054,-0.11871875,0.950059274020956,1.3014,-2.4106,14.589579865868,0.5,15.3316402105065,1.01437009173471,29.9230968176758,1.29544416730363,1.9764438806695,0.738017045219064,3.95423506003374,0.808494372274786,9.09373364959341,0.25,9.09373364959341,0.5,23.2446081008394,1.4133810868127,2.4575000375,0.126363570852974,2.63000011,2.29999995,0.14581875,0.902103446409664,1.844,-1.4516,14.6486121260673,0.5,14.7915441700835,0.785462879246555,28.4126785608115,1.32402192942679,0.25015625,0.416170888394148,0.9947,-0.7815,5.32766606562638,0.25,5.32766606562638,0.5,13.1077314086,1.39507754441745,0.01778125,0.673264537683081,0.8723,-1.1343,9.85822440136915,0.5,10.2926281972907,0.838723313114638,21.205161084038,1.39507754441745,32,"Bike"
17,0.14264375,0.254351541004355,0.848,-0.1765,2.78475283443687,0.75,4.02758985857552,1.97973946032327,8.01106414654133,1.43807264815323,0.7718875,0.417356680248905,1.3683,-0.2683,5.74267238082312,0.75,5.74267238082312,1,13.1450791462052,1.35962855306173,-0.5447,0.212680555551459,0.0549,-0.9962,2.72869469930884,0.75,2.72869469930884,1,6.69859347624559,1.41939338298176,-0.9170125,0.906994019879279,1.646,-2.5504,12.0438478101219,0.75,13.2006446924192,1.43749269550245,28.5667122168443,1.39807983705453,-0.01806875,1.45247529576182,1.8522,-2.9809,24.0364568814802,0.75,24.0364568814802,1,45.7472076625448,1.29635645626646,-0.428303125,1.0271015866723,1.4608,-2.4106,15.3718938197585,0.75,15.5426495614945,1.11782042917274,32.3496239234709,1.38306309421106,2.08061443185219,0.759207722456999,3.95423506003374,0.824883173546412,7.9931651494625,0.25,7.9931651494625,0.5,23.9120303385479,1.44356300496351,2.5724999875,0.181232353481361,2.81999993,2.32999992,0.03041875,1.0703100694651,1.844,-2.0362,20.039696830991,0.75,20.039696830991,1,33.7105196584093,1.32030168346219,0.3995125,0.341190648389412,0.9947,-0.3159,4.20148888816907,0.25,4.20148888816907,0.5,10.7461514078297,1.40526441670244,-0.287925,0.786984842252685,0.7029,-1.6269,15.0489803299528,0.75,18.2619170246534,1.24118933353605,24.7868993785023,1.40526441670244,32,"Bike"
19,0.139621875,0.230060608752556,0.848,-0.1978,2.93356713535679,0.75,2.95753013842576,0.926622162225391,7.24599617927031,1.39475763033946,0.777578125,0.39712562466317,1.3366,-0.2683,5.96757585335828,0.75,5.96757585335828,1,12.5078811822786,1.3755801738514,-0.509746875,0.20290772729586,0.0549,-0.9962,2.17069422521395,0.75,2.18496577629322,1.29366737956719,6.39078816970176,1.41700948573497,-0.309140625,0.714415737761205,1.646,-1.3855,8.38845192511982,0.25,8.38845192511982,0.5,22.5012605777987,1.41779802701191,0.439065625,1.34853351354994,3.4955,-2.2824,18.5040035067199,0.75,18.5040035067199,1,42.4734540162441,1.37552000014149,0.2486875,1.04191341004532,1.7429,-2.117,16.4930573868232,0.75,16.4930573868232,1,32.8161375789412,1.35738341094841,1.79464505083056,0.671832217652218,3.6023979152781,0.801239976536368,6.37643891823676,2,6.4011233078937,2.34273609670454,21.1600486872335,1.46366862063514,2.80999994,0.328044086730292,3.24000001,2.32999992,0.0644,1.07327415912485,1.6444,-2.0362,20.2147092586542,0.75,25.5749116955326,1.26053349311963,33.80387671969,1.31328304443164,0.1759375,0.350657933448429,0.8525,-0.7535,4.11462013374785,1.5,4.12101492350303,1.57550727300035,11.0443333162305,1.37812347806576,-0.11816875,0.93441463078108,1.0142,-1.6269,18.3537654210882,0.75,18.3537654210882,1,29.4303526414482,1.37812347806576,32,"Bike"
21,0.16393125,0.205088381321873,0.7054,-0.1978,3.13167129579192,0.75,3.13539017757595,1.01222499761479,6.45947011758704,1.36346821244814,0.806875,0.293493858813588,1.2894,0.3467,4.63877701124645,0.75,5.41579448867961,1.24590634826828,9.24389182108921,1.31127394523247,-0.489378125,0.174140310010533,-0.1235,-0.8958,2.2792839567035,0.75,2.2792839567035,1,5.48472868882318,1.40160839354006,-0.32505625,0.727859947064216,1.226,-1.576,10.7232914853865,0.75,10.7232914853865,1,22.9246998174458,1.34721468209913,0.210971875,1.45325798483056,3.4955,-2.2694,22.15297464921,0.75,22.15297464921,1,45.7718592621056,1.37722579964896,0.3441125,0.902448002165722,1.7429,-1.5174,14.8317782351995,0.75,16.7926375084263,0.835567564093597,28.4235306997565,1.34875357824068,1.7787129486581,0.683755020523711,3.6023979152781,0.713428763087107,7.83764930729798,2,8.26343996086834,1.92369116261834,21.5355696619952,1.41934846034288,3.514999985,0.532819678944923,4.25,2.8499999,0.0629125,0.968725613720118,1.6188,-1.5314,18.0936159721733,0.75,22.4576875835976,1.25222486977575,30.5110124407565,1.32101388452428,0.136325,0.302286767287983,0.5985,-0.7535,3.14015564085428,1.5,3.14015564085428,1.75,9.52083354334062,1.42844980568711,-0.009471875,0.925344588033465,1.0565,-1.5891,18.6630849183765,0.75,23.6469115439032,1.25219833553933,29.1446822893989,1.42844980568711,32,"Bike"
23,0.172528125,0.220895107547239,0.7054,-0.1731,4.24681224031582,0.75,4.24681224031582,1,6.95731926463059,1.33326783919775,0.861265625,0.293496147811589,1.3065,0.295,5.43934010124294,0.75,5.43934010124294,1,9.24396391544234,1.34379243263998,-0.47109375,0.167014492200044,-0.1975,-0.8958,1.67743552120538,0.75,1.67743552120538,1,5.26029370662894,1.43910680035004,-0.571434375,0.836591754453121,0.867,-1.7729,15.0178423275746,0.75,15.0477021133991,0.971639406971617,26.3493202475889,1.287282379907,0.249971875,1.52428044922617,2.7024,-2.2694,23.8096461330702,0.75,23.8096461330702,1,48.0087850376366,1.31686453854973,-0.148215625,0.877589340772953,1.1725,-1.9865,14.7829270150397,0.75,14.7829270150397,1,27.6405815175803,1.30555334243567,1.91331535383445,0.662467624212022,3.37071331619881,0.713428763087107,7.62922722146595,0.25,7.62922722146595,0.5,20.8651011572934,1.4305136469,3.890000045,0.244157505060608,4.25,3.63000011,-0.00935937499999999,0.918570440117502,1.6188,-1.5314,16.4115396758586,0.75,19.4241174951076,1.23462251547865,28.9313235132788,1.32021133010516,0.205075,0.335373295145535,0.7077,-0.5828,4.167928720406,1.5,4.20485824179668,1.57832132227415,10.5629278668369,1.36087154963228,-0.1969125,0.978396770149365,1.0565,-1.5891,19.8016070982887,0.75,54.2345040054654,2.24081303582295,30.8156154882553,1.36087154963228,32,"Bike"
25,0.172559375,0.197187642515669,0.6104,-0.1731,3.53131901269232,0.75,3.53131901269232,1,6.2106281993048,1.35561333208011,0.846175,0.312902745892549,1.5128,0.295,5.77223221495984,0.75,5.77223221495984,1,9.85519473983138,1.33881177917662,-0.470378125,0.152195970304789,-0.1973,-0.8507,1.98577504435355,0.75,1.98577504435355,1,4.79356907429109,1.38152426091976,-0.480446875,0.857539428223368,0.867,-1.7729,14.3958812831155,0.75,14.5694148924025,1.09014784213207,27.0090888404255,1.35129257303861,0.441284375,1.62900127945243,3.0276,-2.0878,27.0010274151921,0.75,27.0010274151921,1,51.3070756047351,1.31619818690713,0.2138125,0.980232159383848,1.7215,-1.9865,17.7636291259538,0.75,19.3772657863882,0.868759318260729,30.8734229653921,1.31034637680466,2.06461062952883,0.660479116174194,3.37071331619881,0.70972080426038,5.69683932651783,0.25,5.69683932651783,0.5,20.8024710455039,1.4522921349498,3.587500035,0.245672248961257,3.96000004,3.31999993,0.142271875,0.908882479089773,1.6166,-1.3791,17.3265650232017,0.75,17.3265650232017,1,28.626191187617,1.28748145685621,0.1044625,0.35062952946876,0.7077,-0.5828,4.22431995303978,1.5,4.22431995303978,1.75,11.0434387035923,1.39143314451738,-0.038503125,0.963158271080724,1.1415,-1.5886,19.5887478643028,0.75,32.0598583401699,1.49884458046419,30.3356632416369,1.39143314451738,32,"Bike"
